Date,close_fox,close_tko
2022-01-21,34.82,49.65
2022-01-24,35.86,50.0
2022-01-25,35.88,49.05
2022-01-26,34.87,48.55
2022-01-27,35.01,48.83
2022-01-28,36.71,48.7
2022-01-31,37.18,49.94
2022-02-01,36.99,49.97
2022-02-02,37.27,49.42
2022-02-03,37.45,47.81
2022-02-04,37.25,51.71
2022-02-07,37.18,52.58
2022-02-08,37.35,52.74
2022-02-09,39.92,54.97
2022-02-10,40.05,55.33
2022-02-11,39.45,55.7
2022-02-14,38.75,56.04
2022-02-15,39.11,58.29
2022-02-16,38.91,57.45
2022-02-17,38.66,58.63
2022-02-18,38.54,58.55
2022-02-22,38.18,57.79
2022-02-23,37.43,57.58
2022-02-24,37.26,58.29
2022-02-25,38.23,58.6
2022-02-28,38.26,59.26
2022-03-01,37.64,59.35
2022-03-02,39.32,60.48
2022-03-03,39.53,59.72
2022-03-04,39.07,58.69
2022-03-07,38.03,57.53
2022-03-08,38.2,56.69
2022-03-09,37.43,56.53
2022-03-10,36.61,57.08
2022-03-11,36.18,56.6
2022-03-14,35.72,55.96
2022-03-15,36.62,55.96
2022-03-16,37.42,58.23
2022-03-17,37.05,58.84
2022-03-18,37.68,59.75
2022-03-21,37.54,59.59
2022-03-22,37.76,60.82
2022-03-23,37.18,61.38
2022-03-24,37.57,61.43
2022-03-25,37.82,61.06
2022-03-28,37.27,61.0
2022-03-29,37.56,63.1
2022-03-30,36.83,62.38
2022-03-31,36.28,62.44
2022-04-01,36.17,62.41
2022-04-04,36.41,62.94
2022-04-05,35.55,62.42
2022-04-06,35.62,61.78
2022-04-07,35.33,61.76
2022-04-08,35.76,61.49
2022-04-11,35.51,61.29
2022-04-12,35.61,59.99
2022-04-13,35.93,60.5
2022-04-14,35.85,60.01
2022-04-18,35.97,59.86
2022-04-19,36.2,60.27
2022-04-20,36.48,60.78
2022-04-21,35.88,61.51
2022-04-22,35.33,60.99
2022-04-25,35.18,60.81
2022-04-26,34.01,60.61
2022-04-27,33.78,59.59
2022-04-28,33.92,60.65
2022-04-29,33.24,58.39
2022-05-02,33.86,59.81
2022-05-03,33.63,60.17
2022-05-04,34.37,61.54
2022-05-05,33.72,59.49
2022-05-06,32.06,58.58
2022-05-09,30.57,55.51
2022-05-10,29.9,57.92
2022-05-11,30.56,57.01
2022-05-12,30.86,57.35
2022-05-13,31.24,58.25
2022-05-16,31.11,58.04
2022-05-17,31.97,59.88
2022-05-18,30.89,60.2
2022-05-19,30.79,60.32
2022-05-20,30.94,60.91
2022-05-23,31.62,61.68
2022-05-24,30.0,61.66
2022-05-25,30.77,63.76
2022-05-26,31.81,66.09
2022-05-27,32.69,67.14
2022-05-31,32.71,66.77
2022-06-01,32.15,67.08
2022-06-02,31.86,67.3
2022-06-03,31.65,66.7
2022-06-06,31.59,66.56
2022-06-07,32.04,67.02
2022-06-08,31.49,66.15
2022-06-09,30.98,66.47
2022-06-10,30.03,63.64
2022-06-13,29.21,63.85
2022-06-14,29.65,64.01
2022-06-15,30.44,67.18
2022-06-16,29.8,64.87
2022-06-17,29.69,62.51
2022-06-21,30.14,61.02
2022-06-22,29.72,60.31
2022-06-23,29.67,59.43
2022-06-24,30.35,60.62
2022-06-27,30.52,61.0
2022-06-28,30.22,61.15
2022-06-29,30.14,62.01
2022-06-30,29.7,62.49
2022-07-01,30.59,62.56
2022-07-05,30.63,62.12
2022-07-06,30.57,63.49
2022-07-07,30.82,65.07
2022-07-08,30.63,63.76
2022-07-11,30.28,62.96
2022-07-12,30.62,63.72
2022-07-13,30.37,63.08
2022-07-14,30.02,62.78
2022-07-15,31.03,63.63
2022-07-18,30.73,63.29
2022-07-19,31.65,64.51
2022-07-20,32.17,66.27
2022-07-21,32.42,65.81
2022-07-22,32.57,66.22
2022-07-25,32.65,71.81
2022-07-26,31.57,69.39
2022-07-27,32.1,68.15
2022-07-28,32.37,69.49
2022-07-29,30.9,69.31
2022-08-01,31.1,70.71
2022-08-02,30.93,70.73
2022-08-03,31.29,70.98
2022-08-04,31.19,71.23
2022-08-05,31.0,70.85
2022-08-08,31.13,71.66
2022-08-09,31.35,72.13
2022-08-10,32.37,72.21
2022-08-11,33.66,72.44
2022-08-12,33.75,72.54
2022-08-15,33.57,72.17
2022-08-16,33.74,73.26
2022-08-17,33.43,71.81
2022-08-18,33.23,70.66
2022-08-19,32.91,70.89
2022-08-22,31.99,69.7
2022-08-23,31.82,68.84
2022-08-24,32.08,68.85
2022-08-25,32.29,69.69
2022-08-26,31.72,67.62
2022-08-29,31.73,67.36
2022-08-30,31.64,67.15
2022-08-31,31.62,68.01
2022-09-01,31.53,67.5
2022-09-02,31.24,67.8
2022-09-06,30.55,67.67
2022-09-07,30.87,66.54
2022-09-08,30.94,68.1
2022-09-09,31.97,69.26
2022-09-12,32.3,70.1
2022-09-13,31.1,68.26
2022-09-14,31.03,68.8
2022-09-15,32.03,68.2
2022-09-16,31.19,67.64
2022-09-19,31.95,68.76
2022-09-20,31.7,67.67
2022-09-21,30.4,67.15
2022-09-22,29.89,68.2
2022-09-23,29.47,67.96
2022-09-26,28.96,67.69
2022-09-27,28.71,68.2
2022-09-28,29.18,68.79
2022-09-29,28.37,69.19
2022-09-30,28.5,70.17
2022-10-03,29.04,72.11
2022-10-04,29.98,74.12
2022-10-05,29.25,73.73
2022-10-06,29.01,73.21
2022-10-07,29.11,72.73
2022-10-10,28.93,73.95
2022-10-11,28.53,74.94
2022-10-12,28.29,74.55
2022-10-13,29.38,75.49
2022-10-14,29.16,75.71
2022-10-17,26.8,75.42
2022-10-18,27.58,76.31
2022-10-19,27.66,77.02
2022-10-20,27.36,76.48
2022-10-21,27.61,78.11
2022-10-24,27.73,77.5
2022-10-25,28.0,77.9
2022-10-26,27.25,78.84
2022-10-27,26.57,78.44
2022-10-28,27.21,78.72
2022-10-31,27.2,78.89
2022-11-01,28.61,78.71
2022-11-02,28.17,77.54
