Date,Close
2022-08-19,70.89
2022-08-22,69.7
2022-08-23,68.84
2022-08-24,68.85
2022-08-25,69.69
2022-08-26,67.62
2022-08-29,67.36
2022-08-30,67.15
2022-08-31,68.01
2022-09-01,67.5
2022-09-02,67.8
2022-09-06,67.67
2022-09-07,66.54
2022-09-08,68.1
2022-09-09,69.26
2022-09-12,70.1
2022-09-13,68.26
2022-09-14,68.8
2022-09-15,68.2
2022-09-16,67.64
2022-09-19,68.76
2022-09-20,67.67
2022-09-21,67.15
2022-09-22,68.2
2022-09-23,67.96
2022-09-26,67.69
2022-09-27,68.2
2022-09-28,68.79
2022-09-29,69.19
2022-09-30,70.17
2022-10-03,72.11
2022-10-04,74.12
2022-10-05,73.73
2022-10-06,73.21
2022-10-07,72.73
2022-10-10,73.95
2022-10-11,74.94
2022-10-12,74.55
2022-10-13,75.49
2022-10-14,75.71
2022-10-17,75.42
2022-10-18,76.31
2022-10-19,77.02
2022-10-20,76.48
2022-10-21,78.11
2022-10-24,77.5
2022-10-25,77.9
2022-10-26,78.84
2022-10-27,78.44
2022-10-28,78.72
2022-10-31,78.89
2022-11-01,78.71
2022-11-02,77.54
2022-11-03,74.03
2022-11-04,74.02
2022-11-07,74.19
2022-11-08,75.31
2022-11-09,74.88
2022-11-10,75.61
2022-11-11,75.32
2022-11-14,75.28
2022-11-15,76.91
2022-11-16,77.8
2022-11-17,77.0
2022-11-18,78.38
2022-11-21,78.81
2022-11-22,79.55
2022-11-23,80.43
2022-11-25,80.71
2022-11-28,80.8
2022-11-29,79.39
2022-11-30,79.88
2022-12-01,79.11
2022-12-02,80.5
2022-12-05,78.8
2022-12-06,77.85
2022-12-07,77.27
2022-12-08,76.82
2022-12-09,75.73
2022-12-12,75.41
2022-12-13,73.73
2022-12-14,73.69
2022-12-15,72.38
2022-12-16,73.78
2022-12-19,70.43
2022-12-20,70.7
2022-12-21,70.45
2022-12-22,71.24
2022-12-23,69.74
2022-12-27,69.14
2022-12-28,67.51
2022-12-29,68.52
2022-12-30,68.52
2023-01-03,68.58
2023-01-04,70.45
2023-01-05,72.04
2023-01-06,84.27
2023-01-09,87.82
2023-01-10,90.24
2023-01-11,89.5
2023-01-12,89.34
2023-01-13,89.4
2023-01-17,89.66
2023-01-18,88.84
2023-01-19,88.85
2023-01-20,88.69
2023-01-23,88.4
2023-01-24,87.12
2023-01-25,86.77
2023-01-26,85.79
2023-01-27,84.63
2023-01-30,84.95
2023-01-31,84.62
2023-02-01,86.2
2023-02-02,85.31
2023-02-03,89.72
2023-02-06,90.55
2023-02-07,90.42
2023-02-08,89.15
2023-02-09,88.5
2023-02-10,87.84
2023-02-13,87.49
2023-02-14,87.29
2023-02-15,87.41
2023-02-16,87.17
2023-02-17,87.98
2023-02-21,86.44
2023-02-22,85.07
2023-02-23,86.52
2023-02-24,85.79
2023-02-27,86.01
2023-02-28,84.0
2023-03-01,83.67
2023-03-02,83.55
2023-03-03,83.58
2023-03-06,81.79
2023-03-07,81.37
2023-03-08,81.66
2023-03-09,81.0
2023-03-10,81.15
2023-03-13,80.16
2023-03-14,81.76
2023-03-15,83.56
2023-03-16,84.35
2023-03-17,83.33
2023-03-20,84.79
2023-03-21,86.12
2023-03-22,84.18
2023-03-23,84.35
2023-03-24,84.95
2023-03-27,87.37
2023-03-28,87.98
2023-03-29,89.32
2023-03-30,90.6
2023-03-31,91.26
2023-04-03,89.3
2023-04-04,97.23
2023-04-05,98.88
2023-04-06,100.38
2023-04-10,102.81
2023-04-11,102.87
2023-04-12,102.78
2023-04-13,103.15
2023-04-14,104.69
2023-04-17,105.46
2023-04-18,105.65
2023-04-19,105.88
2023-04-20,106.2
2023-04-21,109.35
2023-04-24,109.17
2023-04-25,108.2
2023-04-26,105.94
2023-04-27,105.63
2023-04-28,107.17
2023-05-01,108.47
2023-05-02,105.72
2023-05-03,108.14
2023-05-04,105.44
2023-05-05,106.86
2023-05-08,106.34
2023-05-09,105.78
2023-05-10,105.05
2023-05-11,104.71
2023-05-12,105.17
2023-05-15,107.19
2023-05-16,108.84
2023-05-17,100.91
2023-05-18,103.99
2023-05-19,101.64
2023-05-22,101.94
2023-05-23,101.18
2023-05-24,102.13
2023-05-25,101.53
2023-05-26,100.1
2023-05-30,101.13
2023-05-31,101.32
2023-06-01,99.63
2023-06-02,101.65
2023-06-05,100.22
2023-06-06,99.93
2023-06-07,98.71
2023-06-08,97.96
2023-06-09,98.54
2023-06-12,100.79
2023-06-13,101.44
2023-06-14,101.98
2023-06-15,103.42
2023-06-16,102.72
2023-06-20,101.01
2023-06-21,101.31
2023-06-22,101.46
2023-06-23,100.81
2023-06-26,105.2
2023-06-27,107.56
2023-06-28,108.03
2023-06-29,107.87
2023-06-30,108.47
2023-07-03,108.54
2023-07-05,108.45
2023-07-06,107.29
2023-07-07,107.84
2023-07-10,109.0
2023-07-11,111.0
2023-07-12,109.21
2023-07-13,107.86
2023-07-14,108.03
2023-07-17,107.12
2023-07-18,106.73
2023-07-19,105.9
2023-07-20,108.23
2023-07-21,105.87
2023-07-24,106.42
2023-07-25,106.01
2023-07-26,105.75
2023-07-27,105.07
2023-07-28,105.91
2023-07-31,105.0
2023-08-01,104.06
2023-08-02,105.77
2023-08-03,105.88
2023-08-04,105.62
2023-08-07,107.56
2023-08-08,107.04
2023-08-09,109.3
2023-08-10,114.0
2023-08-11,111.7
2023-08-14,111.75
2023-08-15,112.9
2023-08-16,112.76
2023-08-17,109.49
2023-08-18,112.33
2023-08-21,113.88
2023-08-22,115.14
2023-08-23,115.14
2023-08-24,113.76
2023-08-25,113.69
2023-08-28,115.93
2023-08-29,115.34
2023-08-30,110.05
2023-08-31,96.55
2023-09-01,104.58
2023-09-05,100.07
2023-09-06,100.0
2023-09-07,99.41
2023-09-08,98.05
2023-09-11,100.65
2023-09-12,103.05
2023-09-13,101.0
2023-09-14,100.76
2023-09-15,100.11
2023-09-18,104.13
2023-09-19,105.5
2023-09-20,104.73
2023-09-21,85.97
2023-09-22,83.79
2023-09-25,82.17
2023-09-26,81.06
2023-09-27,80.82
2023-09-28,82.47
2023-09-29,84.06
2023-10-02,85.0
2023-10-03,84.49
2023-10-04,83.43
2023-10-05,82.17
2023-10-06,81.99
2023-10-09,82.92
2023-10-10,82.06
2023-10-11,80.23
2023-10-12,79.93
2023-10-13,77.63
2023-10-16,80.3
2023-10-17,79.87
2023-10-18,76.87
2023-10-19,76.57
2023-10-20,77.97
2023-10-23,78.84
2023-10-24,80.5
2023-10-25,78.64
2023-10-26,81.11
2023-10-27,81.97
2023-10-30,82.91
2023-10-31,81.98
2023-11-01,82.39
2023-11-02,83.46
2023-11-03,84.93
2023-11-06,84.61
2023-11-07,85.66
2023-11-08,84.6
2023-11-09,84.9
2023-11-10,79.26
2023-11-13,79.97
2023-11-14,79.9
2023-11-15,78.05
2023-11-16,78.12
2023-11-17,78.32
2023-11-20,77.86
2023-11-21,78.31
2023-11-22,78.46
2023-11-24,78.5
2023-11-27,79.23
2023-11-28,78.18
2023-11-29,77.68
2023-11-30,77.33
2023-12-01,78.24
2023-12-04,75.5
2023-12-05,73.95
2023-12-06,73.17
2023-12-07,72.8
2023-12-08,73.77
2023-12-11,73.3
2023-12-12,73.82
2023-12-13,73.63
2023-12-14,75.13
2023-12-15,75.99
2023-12-18,76.69
2023-12-19,79.03
2023-12-20,77.66
2023-12-21,79.02
2023-12-22,78.84
2023-12-26,79.72
2023-12-27,80.99
2023-12-28,81.44
2023-12-29,81.58
